act,scene,character,dialogue,line_number
Act II,Scene I,King Philip,This little abstract doth contain that large,379
Act II,Scene I,King Philip,"Which died in Geffrey, and the hand of time",380
Act II,Scene I,King Philip,Shall draw this brief into as huge a volume.,381
Act II,Scene I,King Philip,"That Geffrey was thy elder brother born,",382
Act II,Scene I,King Philip,And this his son; England was Geffrey's right,383
Act II,Scene I,King Philip,And this is Geffrey's: in the name of God,384
Act II,Scene I,King Philip,"How comes it then that thou art call'd a king,",385
Act II,Scene I,King Philip,"When living blood doth in these temples beat,",386
Act II,Scene I,King Philip,Which owe the crown that thou o'ermasterest?,387
Act II,Scene I,King John,"From whom hast thou this great commission, France,",388
Act II,Scene I,King John,To draw my answer from thy articles?,389
Act II,Scene I,King Philip,"From that supernal judge, that stirs good thoughts",390
Act II,Scene I,King Philip,"In any breast of strong authority,",391
Act II,Scene I,King Philip,To look into the blots and stains of right:,392
Act II,Scene I,King Philip,That judge hath made me guardian to this boy:,393
Act II,Scene I,King Philip,Under whose warrant I impeach thy wrong,394
Act II,Scene I,King Philip,And by whose help I mean to chastise it.,395
Act II,Scene I,King John,"Alack, thou dost usurp authority.",396
Act II,Scene I,King Philip,Excuse; it is to beat usurping down.,397
Act II,Scene I,Queen Elinor,"Who is it thou dost call usurper, France?",398
Act II,Scene I,Constance,Let me make answer; thy usurping son.,399
Act II,Scene I,Queen Elinor,"Out, insolent! thy bastard shall be king,",400
Act II,Scene I,Queen Elinor,"That thou mayst be a queen, and cheque the world!",401
Act II,Scene I,Constance,My bed was ever to thy son as true,402
Act II,Scene I,Constance,As thine was to thy husband; and this boy,403
Act II,Scene I,Constance,Liker in feature to his father Geffrey,404
Act II,Scene I,Constance,Than thou and John in manners; being as like,405
Act II,Scene I,Constance,"As rain to water, or devil to his dam.",406
Act II,Scene I,Constance,"My boy a bastard! By my soul, I think",407
Act II,Scene I,Constance,His father never was so true begot:,408
Act II,Scene I,Constance,"It cannot be, an if thou wert his mother.",409
